"299582";"9158204"
"299582";"9333178"
"426929";"9536056"
"495929";"9422200"
"595005";"9372448"
"864406";"9490674"
"1160293";"9167891"
"1160293";"9376657"
"1369472";"9496920"
"1369472";"9497075"
"1369472";"9497093"
"1369472";"9497120"
"1369472";"9497143"
"1369472";"9497170"
"1369472";"9497188"
"1369472";"9497215"
"1369472";"9497241"
"1369472";"9497275"
"1369472";"9497333"
"1369472";"9497439"
"1369472";"9497523"
"1369472";"9497558"
"1369472";"9497604"
"1369472";"9497623"
"1369472";"9497712"
"1369472";"9497778"
"1369472";"9497808"
"1369472";"9497844"
"1369472";"9497865"
"1369472";"9497878"
"1369472";"9497916"
"1369472";"9497933"
"1369472";"9497944"
"1369472";"9498198"
"1369472";"9498234"
"1369472";"9498257"
"1369472";"9498271"
"1369472";"9498294"
"1369472";"9498333"
"1369472";"9498359"
"1369472";"9498371"
"1369472";"9498402"
"1369472";"9498411"
"1369472";"9498431"
"1369472";"9498446"
"1369472";"9498463"
"1369472";"9498480"
"1369472";"9498525"
"1369472";"9498798"
"1369472";"9498837"
"1369472";"9498862"
"1369472";"9498889"
"1369472";"9498936"
"1369472";"9498954"
"1369472";"9498988"
"1369472";"9499018"
"1369472";"9499094"
"1369472";"9499127"
"1369472";"9499163"
"1369472";"9499196"
"1369472";"9499219"
"1369472";"9499258"
"1369472";"9499297"
"1369472";"9499353"
"1369472";"9499390"
"1369472";"9499412"
"1369472";"9499430"
"1369472";"9500858"
"1369472";"9500885"
"1369472";"9500906"
"1369472";"9500927"
"1369472";"9500941"
"1369472";"9500956"
"1369472";"9500973"
"1369472";"9500989"
"1369472";"9501012"
"1369472";"9501037"
"1369472";"9501081"
"1369472";"9501117"
"1369472";"9501139"
"1369472";"9501186"
"1369472";"9501224"
"1369472";"9501243"
"1369472";"9501269"
"1369472";"9501297"
"1369472";"9501327"
"1369472";"9501345"
"1369472";"9501386"
"1369472";"9501408"
"1369472";"9501446"
"1369472";"9501477"
"1369472";"9501496"
"1369472";"9501537"
"1369472";"9501664"
"1369472";"9501673"
"1369472";"9501700"
"1369472";"9501715"
"1369472";"9501728"
"1369472";"9501755"
"1369472";"9501777"
"1369472";"9501803"
"1369472";"9501842"
"1369472";"9501874"
"1369472";"9501894"
"1369472";"9501907"
"1369472";"9501927"
"1369472";"9501950"
"1369472";"9501978"
"1369472";"9503332"
"1369472";"9503365"
"1369472";"9503412"
"1369472";"9503445"
"1369472";"9503478"
"1369472";"9503564"
"1369472";"9503621"
